set_label,template_signature,num_intervals,block_start_time,block_end_time,block_duration_s,on_time_s,off_time_s,avg_on_s,avg_off_s,set_family,block_avg_power_w,block_normalized_power_w,block_variability_index_vi,block_intensity_factor_if,block_tss,block_avg_hr_bpm,block_efficiency_factor_ef,block_hr_drift_pct,block_pw_hr_decoupling_pct,workout_category
2x5 VO2,2x5@VO2,2,2025-04-03 17:29:29,2025-04-03 17:46:28,1020.0,601.0,419.0,300.5,419.0,300_420,198.6801310043668,209.8411967430457,1.0561760538522778,0.8393647869721829,19.961775292250973,,,,,vo2-short
2x5 VO2,2x5@VO2,2,2025-04-03 17:46:28,2025-04-03 18:04:51,1104.0,603.0,501.0,301.5,501.0,300_500,217.0407608695652,276.56129477175386,1.2742366625684594,1.1062451790870154,37.529204151766734,,,,,vo2-short
8x40/20,8x40/20,8,2025-04-03 17:51:29,2025-04-03 17:59:31,483.0,327.0,156.0,40.875,22.285714285714285,40_20,309.63561076604555,331.332736263575,1.0700730947704955,1.3253309450543,23.5664033617402,,,,,vo2-short
3x20/170,3x20/170,3,2025-04-03 17:52:09,2025-04-03 17:58:51,403.0,63.0,340.0,21.0,170.0,20_170,290.90074441687347,327.9731733937626,1.127440131001393,1.3118926935750503,19.26633786390575,,,,,vo2-short
4x20/105,4x20/105,4,2025-04-03 17:53:08,2025-04-03 17:59:51,404.0,84.0,320.0,21.0,106.66666666666669,20_105,289.990099009901,330.6934922322243,1.14036132047713,1.322773968928897,19.63586980671851,,,,,vo2-short
2x15,2x15,2,2025-04-03 18:04:51,2025-04-03 18:48:14,2604.0,1825.0,779.0,912.5,779.0,910_780,206.4078341013825,236.64459903022407,1.1464903939352904,0.9465783961208964,64.81143774020315,,,,,vo2-short
7x30/30,7x30/30,7,2025-04-03 18:19:51,2025-04-03 18:26:21,391.0,217.0,174.0,31.0,29.0,30_30,282.40664961636827,308.5440981836224,1.0925525252424482,1.2341763927344895,16.543550695494407,,,,,vo2-short
5x30/60,5x30/60,5,2025-04-03 18:20:21,2025-04-03 18:26:51,391.0,156.0,235.0,31.2,58.75,30_60,263.70332480818416,308.4137951851323,1.169548375658404,1.2336551807405292,16.5295804456241,,,,,vo2-short
2x30/150,2x30/150,2,2025-04-03 18:22:22,2025-04-03 18:25:51,210.0,61.0,149.0,30.5,149.0,30_150,251.85238095238097,310.9145040179045,1.2345108783255487,1.243658016071618,9.02233068881196,,,,,vo2-short
7x20/40,7x20/40,7,2025-04-03 18:48:14,2025-04-03 18:54:34,381.0,149.0,232.0,21.285714285714285,38.666666666666664,20_40,266.6036745406824,281.9412200461257,1.0575293852639789,1.1277648801845028,13.460450864345908,,,,,vo2-short
6x40/30,6x40/30,6,2025-04-03 18:48:34,2025-04-03 18:55:14,401.0,244.0,157.0,40.666666666666664,31.4,40_30,249.14713216957605,283.411580377911,1.137526962120574,1.133646321511644,14.315187413695265,,,,,vo2-short
2x40/200,2x40/200,2,2025-04-03 18:51:35,2025-04-03 18:56:14,280.0,82.0,198.0,41.0,198.0,40_200,261.925,315.4909930259128,1.2045088976841187,1.2619639721036513,12.386523853570417,,,,,vo2-short
2x30,2x30,2,2025-06-11 19:46:16,2025-06-11 21:01:16,4501.0,3601.0,900.0,1800.5,900.0,1800_900,258.5554321261942,261.5768854477625,1.0116859015365556,0.8174277670242578,83.54208006984699,138.61341924016884,1.8870964072716565,-1.859016220775269,2.588887854431454,tempo
2x30,2x30,2,2025-08-14 17:11:29,2025-08-14 19:27:52,8184.0,3612.0,4572.0,1806.0,4572.0,1805_4570,228.17086972567353,240.31970599689524,1.0532444666833591,0.7509990812402976,128.2159136187373,130.77440519990188,1.8376662132742436,3.4075549012216126,3.9614133473098834,tempo
2x31,2x31,2,2025-08-14 17:41:21,2025-08-14 18:57:34,4574.0,3675.0,899.0,1837.5,899.0,1840_900,255.2140490390987,259.6818621739288,1.0175061410280966,0.8115058192935274,83.6713808826101,138.28063806380638,1.8779336413974648,2.703228711558539,1.557837300414766,tempo
